method,frame,lpips,temporal_mse,tlpips_delta
Fine-tuned BasicVSR++,002/00000029,0.08049788326025009,0.00022511898714583367,0.07426929473876953
Fine-tuned BasicVSR++,002/00000030,0.07270169258117676,0.00021169516548980027,0.06903126090765
Fine-tuned BasicVSR++,002/00000031,0.08249088376760483,0.0002105007297359407,0.06896302849054337
Fine-tuned BasicVSR++,002/00000032,0.08119530230760574,0.0002192421379731968,0.07574933767318726
Fine-tuned BasicVSR++,002/00000033,0.08337689936161041,0.00022198045917320997,0.07789377123117447
Fine-tuned BasicVSR++,002/00000034,0.08505219966173172,0.0002285643422510475,0.07497269660234451
Fine-tuned BasicVSR++,002/00000035,0.08661208301782608,0.00023836696345824748,0.07446303218603134
Fine-tuned BasicVSR++,002/00000036,0.08302441239356995,0.00022588072170037776,0.0771288052201271
Fine-tuned BasicVSR++,002/00000037,0.07498251646757126,0.00019881680782418698,0.07031650841236115
Fine-tuned BasicVSR++,002/00000038,0.08357498049736023,0.00019772330415435135,0.07021111994981766
Fine-tuned BasicVSR++,002/00000039,0.074862040579319,0.0002043043205048889,0.07099496573209763
Fine-tuned BasicVSR++,002/00000040,0.06270325928926468,0.00018538364383857697,0.061285000294446945
Fine-tuned BasicVSR++,002/00000041,0.07710414379835129,0.0002031518961302936,0.06607779860496521
Fine-tuned BasicVSR++,002/00000042,0.06908804923295975,0.00020189202041365206,0.06768259406089783
Fine-tuned BasicVSR++,002/00000043,0.07301974296569824,0.00018942505994345993,0.06536264717578888
Fine-tuned BasicVSR++,002/00000044,0.07103531062602997,0.00019847399380523711,0.0653783529996872
Fine-tuned BasicVSR++,002/00000045,0.07044969499111176,0.00020317797316238284,0.06385298818349838
Fine-tuned BasicVSR++,002/00000046,0.06980001926422119,0.00021699386707041413,0.06283685564994812
Fine-tuned BasicVSR++,002/00000047,0.07550318539142609,0.00022422843903768808,0.06360095739364624
Fine-tuned BasicVSR++,002/00000048,0.06906478852033615,0.00022595564951188862,0.06674915552139282
Fine-tuned BasicVSR++,002/00000049,0.07752440869808197,0.00022746474132873118,0.068366140127182
Fine-tuned BasicVSR++,002/00000050,0.08318201452493668,0.0002380182995693758,0.07197125256061554
Fine-tuned BasicVSR++,002/00000051,0.08599530905485153,0.00023058013175614178,0.07727321982383728
Fine-tuned BasicVSR++,002/00000052,0.10882290452718735,0.0002462071424815804,0.0858302116394043
Fine-tuned BasicVSR++,002/00000053,0.09818217158317566,0.00023676210548728704,0.09048253297805786
Fine-tuned BasicVSR++,002/00000054,0.08298961818218231,0.00021443220612127334,0.07932262867689133
Fine-tuned BasicVSR++,002/00000055,0.08517973870038986,0.0002113847149303183,0.07434169948101044
Fine-tuned BasicVSR++,002/00000056,0.08417220413684845,0.00021023250883445144,0.0757450982928276
Fine-tuned BasicVSR++,002/00000057,0.08625513315200806,0.0002190566447097808,0.07801926136016846
Fine-tuned BasicVSR++,002/00000058,0.0757686048746109,0.00021326127171050757,0.07414689660072327
Fine-tuned BasicVSR++,002/00000059,0.0801720917224884,0.00022422720212489367,0.06941336393356323
Fine-tuned BasicVSR++,002/00000060,0.07571643590927124,0.0002359607897233218,0.07283202558755875
Fine-tuned BasicVSR++,002/00000061,0.0790623351931572,0.00023419654462486506,0.07198722660541534
Fine-tuned BasicVSR++,002/00000062,0.07082486897706985,0.000221205860725604,0.07182366400957108
Fine-tuned BasicVSR++,002/00000063,0.0838339701294899,0.00022851934772916138,0.06947122514247894
Fine-tuned BasicVSR++,002/00000064,0.08047716319561005,0.00024092501553241163,0.07489971816539764
